Tour 1 | IA (B) | evaluation score : 3
Tour 2 | IA (W) | evaluation score : 0
Tour 3 | IA (B) | evaluation score : 3
Tour 4 | IA (W) | evaluation score : 2
Tour 5 | IA (B) | evaluation score : 3
Tour 6 | IA (W) | evaluation score : 0
Tour 7 | IA (B) | evaluation score : 3
Tour 8 | IA (W) | evaluation score : 2
Tour 9 | IA (B) | evaluation score : 1
Tour 10 | IA (W) | evaluation score : 4
Tour 11 | IA (B) | evaluation score : -1
Tour 12 | IA (W) | evaluation score : 4
Tour 13 | IA (B) | evaluation score : 3
Tour 14 | IA (W) | evaluation score : 2
Tour 15 | IA (B) | evaluation score : 5
Tour 16 | IA (W) | evaluation score : -2
Tour 17 | IA (B) | evaluation score : 5
Tour 18 | IA (W) | evaluation score : -2
Tour 19 | IA (B) | evaluation score : 5
Tour 20 | IA (W) | evaluation score : 4
Tour 21 | IA (B) | evaluation score : -1
Tour 22 | IA (W) | evaluation score : 4
Tour 23 | IA (B) | evaluation score : -1
Tour 24 | IA (W) | evaluation score : 6
Tour 25 | IA (B) | evaluation score : -1
Tour 26 | IA (W) | evaluation score : 8
Tour 27 | IA (B) | evaluation score : -1
Tour 28 | IA (W) | evaluation score : 8
Tour 29 | IA (B) | evaluation score : -3
Tour 30 | IA (W) | evaluation score : 12
Tour 31 | IA (B) | evaluation score : -7
Tour 32 | IA (W) | evaluation score : 10
Tour 33 | IA (B) | evaluation score : 1
Tour 34 | IA (W) | evaluation score : 8
Tour 35 | IA (B) | evaluation score : 7
Tour 36 | IA (W) | evaluation score : 0
Tour 37 | IA (B) | evaluation score : 7
Tour 38 | IA (W) | evaluation score : -4
Tour 39 | IA (B) | evaluation score : 13
Tour 40 | IA (W) | evaluation score : -6
Tour 41 | IA (B) | evaluation score : 17
Tour 42 | IA (W) | evaluation score : -14
Tour 43 | IA (B) | evaluation score : 17
Tour 44 | IA (W) | evaluation score : -12
Tour 45 | IA (B) | evaluation score : 23
Tour 46 | IA (W) | evaluation score : -14
Tour 47 | IA (B) | evaluation score : 25
Tour 48 | IA (W) | evaluation score : -20
Tour 49 | IA (B) | evaluation score : 29
Tour 50 | IA (W) | evaluation score : -26
Tour 51 | IA (B) | evaluation score : 31
Tour 52 | IA (W) | evaluation score : -26
Tour 53 | IA (B) | evaluation score : 31
Tour 54 | IA (W) | evaluation score : -16
Tour 55 | IA (B) | evaluation score : 25
Tour 56 | IA (W) | evaluation score : -22
Tour 57 | IA (B) | evaluation score : 29
Tour 58 | IA (W) | evaluation score : -24
Tour 59 | IA (B) | evaluation score : 39
Tour 60 | IA (W) | evaluation score : -28
